split,model,rmse_ret_bp,mae_ret_bp,rmse_close_pip,mae_close_pip,mape_close,dir_acc_pct
val,lstm,10.100651422178277,6.9113142033372785,11.223459677992158,7.734028667237669,0.07154519635489588,49.68944099378882
test,lstm,9.70685578980682,6.432793358690217,10.926228784415542,7.275520753203002,0.0658871781538063,50.46630443597437
val,transformer,10.230486919012312,7.006900709908345,11.881035711256713,8.220598770433448,0.07602706717123207,52.10853220006538
test,transformer,10.084801937753083,7.025904961919237,11.886356052300354,8.325868714928047,0.0751473047236336,49.9148487551699
