model,last_time,next_time,last_close,pred_ret_bp,pred_close,pred_change_pip,direction
lstm,2026-01-06 07:00:00,2026-01-06 08:00:00,1.17286,-1.7495080828666687,1.1726548251432698,-2.0517485673021696,down
transformer,2026-01-06 07:00:00,2026-01-06 08:00:00,1.17286,-5.74303325265646,1.172186615983777,-6.733840162229665,down
