split,model,n,rmse_ret_bp,mae_ret_bp,rmse_close_pip,mae_close_pip,mape_close,dir_acc_pct
val,lstm,6159,10.100651557503312,6.911314117145711,11.223460317522369,7.734028674766877,0.07154519637329651,49.68944099378882
test,lstm,12429,9.706855925677019,6.4327933969052395,10.926229886999952,7.275522876765577,0.06588719687535294,50.46630443597437
val,transformer,6159,10.230486927498934,7.006900710942029,11.881035424343512,8.220598454403019,0.07602706426656379,52.10853220006538
test,transformer,12429,10.084801936082677,7.025904964158399,11.886355956800129,8.325868611500635,0.07514730376495751,49.9148487551699
