split,model,rmse_ret_bp,mae_ret_bp,rmse_close_pip,mae_close_pip,mape_close,dir_acc_pct
val,naive_last_value,9.615983712100066,6.322783498484268,10.391682449511524,6.8351917499194546,0.06322911286223797,0.0
val,drift,9.616283431865622,6.323203895944962,10.391987260231451,6.8356421121961155,0.06323305907269079,49.81346309813463
val,seasonal_naive_24h,13.67482059580644,9.139282727241769,14.772090482889679,9.877093587926423,0.09139462408166775,49.94322789943228
val,seasonal_naive_168h,13.491833788948945,9.100131842274102,14.58981584951831,9.838594535225347,0.09100343147649116,50.59205190592052
val,ma_24h,9.815547297028019,6.582021247916824,10.60726643939147,7.115463421648283,0.06582207485794939,50.02433090024331
val,ar(1),9.61672128133048,6.32250239674152,10.39245627098047,6.834888739354893,0.06322605174637719,50.36496350364964
test,naive_last_value,9.125583451959924,5.79095728432366,10.062801914355484,6.401362507012907,0.05790461820348137,0.0
test,drift,9.125829580822863,5.791461115358698,10.063072207926059,6.4019180838448015,0.05790951265865776,49.656676629776236
test,seasonal_naive_24h,12.845317947862354,8.422548762869386,14.172951207951622,9.309553847365745,0.08421936567399216,50.52104370304548
test,seasonal_naive_168h,12.807443787286967,8.51281717626769,14.13695815410868,9.411341506997275,0.08513187260364077,49.72938040229421
test,ma_24h,9.302123578920332,6.009451907897357,10.25797564258855,6.642498358054491,0.06009179358672622,49.91517893206237
test,ar(1),9.124670565607468,5.7905418073169965,10.061846160097783,6.400902957466161,0.057900277550398914,49.93941352290169
